time,side,volume,price,soc_before,soc_after,cost_convex,cost_linear
2024-02-09 19:00:00+00:00,discharge,4.75,103.89,6.625,1.875,23.259152146962343,19.0
2024-02-09 20:00:00+00:00,charge,5.0,13.41,1.875,6.625,0.0,0.0
2024-02-09 21:00:00+00:00,discharge,4.75,99.21,6.625,1.875,23.259152146962343,19.0
2024-02-09 22:00:00+00:00,charge,5.0,13.64,1.875,6.625,0.0,0.0
2024-02-09 23:00:00+00:00,discharge,4.75,100.24,6.625,1.875,23.259152146962343,19.0
2024-02-10 00:00:00+00:00,charge,5.0,15.76,1.875,6.625,0.0,0.0
2024-02-10 01:00:00+00:00,discharge,4.75,104.21,6.625,1.875,23.259152146962343,19.0
2024-02-10 02:00:00+00:00,charge,5.0,12.94,1.875,6.625,0.0,0.0
2024-02-10 03:00:00+00:00,discharge,4.75,97.38,6.625,1.875,23.259152146962343,19.0
2024-02-10 04:00:00+00:00,charge,5.0,14.68,1.875,6.625,0.0,0.0
2024-02-10 05:00:00+00:00,discharge,4.75,102.31,6.625,1.875,23.259152146962343,19.0
2024-02-10 06:00:00+00:00,charge,5.0,12.22,1.875,6.625,0.0,0.0
2024-02-10 07:00:00+00:00,discharge,4.75,98.66,6.625,1.875,23.259152146962343,19.0
2024-02-10 08:00:00+00:00,charge,5.0,14.42,1.875,6.625,0.0,0.0
2024-02-10 09:00:00+00:00,discharge,4.75,96.39,6.625,1.875,23.259152146962343,19.0
2024-02-10 10:00:00+00:00,charge,5.0,14.11,1.875,6.625,0.0,0.0
2024-02-10 11:00:00+00:00,discharge,4.75,103.07,6.625,1.875,23.259152146962343,19.0
2024-02-10 12:00:00+00:00,charge,5.0,11.96,1.875,6.625,0.0,0.0
2024-02-10 13:00:00+00:00,discharge,4.75,97.48,6.625,1.875,23.259152146962343,19.0
2024-02-10 14:00:00+00:00,charge,5.0,16.58,1.875,6.625,0.0,0.0
2024-02-10 15:00:00+00:00,discharge,4.75,101.87,6.625,1.875,23.259152146962343,19.0
2024-02-10 16:00:00+00:00,charge,5.0,12.85,1.875,6.625,0.0,0.0
2024-02-10 17:00:00+00:00,discharge,4.75,100.18,6.625,1.875,23.259152146962343,19.0
2024-02-10 18:00:00+00:00,charge,5.0,18.45,1.875,6.625,0.0,0.0
2024-02-10 19:00:00+00:00,discharge,4.75,103.68,6.625,1.875,23.259152146962343,19.0
2024-02-10 20:00:00+00:00,charge,5.0,12.8,1.875,6.625,0.0,0.0
2024-02-10 21:00:00+00:00,discharge,4.75,101.44,6.625,1.875,23.259152146962343,19.0
2024-02-10 22:00:00+00:00,charge,5.0,14.52,1.875,6.625,0.0,0.0
2024-02-10 23:00:00+00:00,discharge,4.75,104.22,6.625,1.875,23.259152146962343,19.0
2024-02-11 00:00:00+00:00,charge,5.0,15.37,1.875,6.625,0.0,0.0
2024-02-11 01:00:00+00:00,discharge,4.75,100.3,6.625,1.875,23.259152146962343,19.0
2024-02-11 02:00:00+00:00,charge,5.0,12.48,1.875,6.625,0.0,0.0
2024-02-11 03:00:00+00:00,discharge,4.75,99.89,6.625,1.875,23.259152146962343,19.0
2024-02-11 04:00:00+00:00,charge,5.0,13.96,1.875,6.625,0.0,0.0
2024-02-11 05:00:00+00:00,discharge,4.75,106.88,6.625,1.875,23.259152146962343,19.0
2024-02-11 06:00:00+00:00,charge,5.0,12.07,1.875,6.625,0.0,0.0
